length
0.0
14.0
16.0
38.0
10.0
28.0
50.0
30.0
187.0
170.0
51.0
134.0
51.0
32.0
61.0
104.0
22.0
13.0
37.0
16.0
94.0
8.0
14.0
67.0
13.0
49.0
92.0
51.0
72.0
1.0
53.0
11.0
43.0
41.0
1.0
10.0
25.0
48.0
24.0
21.0
31.0
69.0
40.0
15.0
33.0
27.0
17.0
38.0
37.0
34.0
40.0
32.0
60.0
109.0
103.0
41.0
47.0
19.0
31.0
15.0
112.0
49.0
5.0
30.0
11.0
53.0
31.0
51.0
90.0
6.0
11.0
36.0
25.0
30.0
26.0
22.0
35.0
27.0
36.0
20.0
17.0
14.0
31.0
58.0
6.0
27.0
24.0
37.0
55.0
35.0
41.0
15.0
19.0
67.0
37.0
72.0
9.0
33.0
16.0
21.0
14.0
49.0
25.0
52.0
7.0
14.0
24.0
19.0
25.0
17.0
41.0
65.0
6.0
31.0
34.0
11.0
46.0
10.0
15.0
14.0
62.0
28.0
19.0
110.0
51.0
84.0
17.0
22.0
20.0
28.0
23.0
38.0
2.0
72.0
40.0
12.0
39.0
10.0
25.0
17.0
38.0
60.0
26.0
31.0
61.0
33.0
4.0
21.0
58.0
56.0
23.0
57.0
42.0
20.0
32.0
25.0
29.0
45.0
0.0
49.0
6.0
37.0
69.0
25.0
21.0
24.0
32.0
22.0
54.0
21.0
20.0
10.0
44.0
30.0
34.0
4.0
32.0
56.0
35.0
10.0
15.0
31.0
62.0
55.0
67.0
157.0
34.0
28.0
40.0
101.0
63.0
26.0
27.0
25.0
37.0
23.0
35.0
40.0
25.0
24.0
30.0
32.0
54.0
63.0
18.0
31.0
23.0
45.0
43.0
30.0
88.0
43.0
16.0
32.0
10.0
27.0
38.0
47.0
23.0
18.0
5.0
17.0
56.0
0.0
15.0
63.0
3.0
65.0
72.0
40.0
42.0
9.0
45.0
14.0
0.0
43.0
5.0
73.0
36.0
42.0
32.0
23.0
71.0
45.0
70.0
107.0
14.0
12.0
10.0
35.0
13.0
25.0
8.0
30.0
11.0
34.0
55.0
32.0
23.0
41.0
29.0
22.0
49.0
49.0
33.0
31.0
22.0
36.0
34.0
42.0
10.0
58.0
24.0
53.0
22.0
26.0
55.0
44.0
77.0
57.0
19.0
32.0
83.0
26.0
28.0
85.0
40.0
38.0
25.0
33.0
39.0
23.0
60.0
22.0
0.0
27.0
37.0
39.0
14.0
51.0
21.0
36.0
53.0
24.0
68.0
11.0
24.0
24.0
28.0
29.0
65.0
21.0
30.0
63.0
23.0
27.0
18.0
41.0
4.0
30.0
27.0
10.0
127.0
20.0
12.0
32.0
56.0
5.0
24.0
19.0
25.0
66.0
35.0
36.0
35.0
14.0
29.0
26.0
29.0
8.0
25.0
12.0
35.0
48.0
18.0
25.0
36.0
44.0
3.0
31.0
44.0
20.0
23.0
15.0
44.0
19.0
30.0
36.0
32.0
17.0
12.0
35.0
30.0
32.0
11.0
25.0
60.0
16.0
34.0
40.0
27.0
17.0
32.0
45.0
18.0
19.0
40.0
38.0
28.0
62.0
35.0
26.0
24.0
32.0
22.0
82.0
54.0
13.0
15.0
2.0
47.0
13.0
41.0
35.0
11.0
24.0
33.0
30.0
25.0
34.0
47.0
32.0
36.0
11.0
21.0
52.0
60.0
14.0
23.0
14.0
45.0
37.0
39.0
16.0
37.0
16.0
44.0
54.0
